hindi,english
नई दिल्ली,New Delhi
वैज्ञानिक,Scientist
अभियांत्रिकी,Engineering
दिल्ली,Delhi
पद्म भूषण,Padma Bhushan
पद्म विभूषण,Padma Vibhushan
भारत,India
भारत सरकार,Government of India
२०००,2000
कहानी,Narrative
कोंकणी भाषा,Konkani language
अंग्रेज़ी भाषा,English language
कोंकणी भाषा,Konkani language
गोवा,Goa
पद्म श्री,Padma Shri
यूनाइटेड किंगडम,European Charter for Regional or Minority Languages
कोंकणी भाषा,Konkani language
गोवा,Goa
ज्ञानपीठ पुरस्कार,Jnanpith Award
साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
हिन्दी,Hindi
कवि,Poet
महाभारत,Mahabharata
ओड़िया साहित्य,Odia literature
व्याकरण,Grammar
संस्कृत भाषा,Sanskrit
उपन्यास,Novel
ओड़िया साहित्य,Odia literature
ओडिशा,Odisha
कहानी,Narrative
बालेश्वर,Balasore
मकर संक्रान्ति,Makar Sankranti
ओड़िआ,Oriya
कवि,Poet
गंगाधर मेहेर विश्वविद्यालय,Gangadhar Meher University
बरगढ़ जिला,Bargarh district
सम्बलपुर जिला,Sambalpur district
आन्ध्र विश्वविद्यालय,Andhra University
कटक,Cuttack
काव्य,Poetry
कोलकाता,Kolkata
ज्ञानपीठ पुरस्कार,Jnanpith Award
पश्चिम बंगाल,West Bengal
पुस्तक,Book
ब्रह्मपुर,Berhampur
मुहावरा,Idiom
शिक्षा,Education
साहित्य,Literature
साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
कोणार्क,Konark
गोदावरीश मिश्र,Godabarish Mishra
नीलकंठ दास,Nilakantha Das
बंगाल,Bengal
उपन्यास,Novel
ज्ञानपीठ पुरस्कार,Jnanpith Award
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
ओड़िया भाषा,Odia language
कहानी,Narrative
ओड़िया,Odia language
साहित्य अकादमी,Sahitya Akademi
आत्मकथा,Autobiography
हरिवंश राय बच्चन,Harivansh Rai Bachchan
अंग्रेज़ी भाषा,English language
लेखक,Writer
अंग्रेजी,English language
ओड़िआ साहित्य,Odia literature
भारतीय,Indian
सरस्वती सम्मान,Saraswati Samman
ओड़िया भाषा,Odia language
नाटक,Drama
अंतरराष्ट्रीय संबंध सिद्धांत,International relations theory
केनेथ वाल्ट्ज,Kenneth Waltz
नवयथार्थवाद (अन्तर्राष्ट्रीय सम्बंध),Neorealism (international relations)
ग़ज़ल,Ghazal
गोविन्दा,Govinda (actor)
ठुमरी,Thumri
भारत,India
मुम्बई,Mumbai
राम तेरी गंगा मैली,Ram Teri Ganga Maili
वाराणसी,Varanasi
सवेरा,Savera (1942 film)
ओड़िया भाषा,Odia language
ओडिशा,Odisha
कवि,Poet
गीतकार,Lyricist
फेसबुक,Facebook
भारत,India
कटक,Cuttack
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
सरस्वती सम्मान,Saraswati Samman
२००६,2006
आन्ध्र विश्वविद्यालय,Andhra University
कटक,Cuttack
काव्य,Poetry
कोलकाता,Kolkata
ज्ञानपीठ पुरस्कार,Jnanpith Award
पश्चिम बंगाल,West Bengal
पुस्तक,Book
ब्रह्मपुर,Berhampur
मुहावरा,Idiom
शिक्षा,Education
साहित्य,Literature
साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
उत्कल विश्वविद्यालय,Utkal University
ओडिशा,Odisha
कटक,Cuttack
कमलादेवी चट्टोपाध्याय,Kamaladevi Chattopadhyay
जवाहरलाल नेहरू,Jawaharlal Nehru
दुर्गाबाई देशमुख,Durgabai Deshmukh
बंगाल प्रेसीडेंसी,Bengal Presidency
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
महात्मा गांधी,Mahatma Gandhi
सरोजिनी नायडू,Sarojini Naidu
2008,2008
ओड़िया,Odia language
ओड़िया भाषा,Odia language
चेन्नई,Chennai
जर्मन,German language
तिरुवनन्तपुरम,Thiruvananthapuram
धेंकनाल,"Dhenkanal, India"
बांग्ला,Bengali language
बांग्लादेश,Bangladesh
मराठी,Marathi language
मलयालम,Malayalam
हिन्दी,Hindi
1993,1993
उड़िया,Odia language
ज्ञानपीठ पुरस्कार,Jnanpith Award
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
२००३,2003
ओडिशा,Odisha
कैम्ब्रिज विश्वविद्यालय,University of Cambridge
दिल्ली,Delhi
नई दिल्ली,New Delhi
नवीन पटनायक,Naveen Patnaik
पद्म श्री,Padma Shri
बीजू पटनायक,Biju Patnaik
भारत,India
यूनाइटेड किंगडम,European Charter for Regional or Minority Languages
लंदन,London
भारत,India
भारत सरकार,Government of India
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
१९७१,1971
ओड़िया भाषा,Odia language
ओडिशा,Odisha
ज्ञानपीठ पुरस्कार,Jnanpith Award
बांग्ला,Bengali language
भारतीय सांस्कृतिक संबंध परिषद,Indian Council for Cultural Relations
मूर्तिदेवी पुरस्कार,Moortidevi Award
हिन्दी,Hindi
ओड़िया भाषा,Odia language
कहानी,Narrative
उपन्यास,Novel
साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
ओडिशा,Odisha
कटक,Cuttack
नवीन पटनायक,Naveen Patnaik
पुरी,Puri
भद्रक,Bhadrak
भूदान आन्दोलन,Bhoodan movement
महात्मा गांधी,Mahatma Gandhi
रामदेवी चौधरी,Ramadevi Choudhury
विनोबा भावे,Vinoba Bhave
अंग्रेजी,English language
अंग्रेजी साहित्य,English literature
अध्ययन,Study
अफ़्रीका,Africa
अमेरिकी साहित्य,American literature
आलोचक,Criticism
उपाधि,Upadhi
ओडिशा,Odisha
कविता,Poetry
कविता संग्रह,Poetry
कवियित्री,Poet
किताब,Book
जीवन,Life
नई दिल्ली,New Delhi
नगर,City
पकिस्तान,Pakistan
पत्रिका,Magazine
पीएचडी,Doctor of Philosophy
बुद्ध,Gautama Buddha
भारत,India
भारतीय कवियों की सूची,List of Indian poets
भारतीय लेखकों की सूची,List of Indian writers
भाषा,Language
यूनाइटेड किंगडम,European Charter for Regional or Minority Languages
लेख,Article (publishing)
लेखक,Writer
लोकसाहित्य,Oral literature
विद्यालय,School
विषय,Subject
शिक्षा,Education
संयुक्त राज्य,United States
सम्पादक,Editing
सांस्कृतिक,Culture
साहित्य,Literature
स्वर्ण पदक,Gold medal
ओड़िया भाषा,Odia language
ओडिया,Oriya
विज्ञान,Science
संस्कृत भाषा,Sanskrit
पद्म भूषण,Padma Bhushan
१९५५,1955
दिल्ली,Delhi
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
२००९,2009
जतीन दास,Jatin Das (painter)
टिस्का चोपड़ा,Tisca Chopra
दीपा मेहता,Deepa Mehta
नवाज़ुद्दीन सिद्दीकी,Nawazuddin Siddiqui
नसीरुद्दीन शाह,Naseeruddin Shah
परेश रावल,Paresh Rawal
मिरांडा हाउस,Miranda House
मृणाल सेन,Mrinal Sen
रघुवीर यादव,Raghubir Yadav
श्याम बेनेगल,Shyam Benegal
संजय सूरी,Sanjay Suri
सरदार पटेल विद्यालय,Sardar Patel Vidyalaya
भारतीय,Indian
ओडिशा,Odisha
ओडिशा,Odisha
बीजू जनता दल,Biju Janata Dal
भारत,India
अमृता खानविलकर,Amruta Khanvilkar
इशिता शर्मा,Ishita Sharma
कोलकाता,Kolkata
गीता कपूर,Geeta Kapoor
चेन्नई,Chennai
ज़ी टीवी,Zee TV
ज़ी बांग्ला,Zee Bangla
डांस इण्डिया डांस,Dance India Dance
दिल्ली,Delhi
पुनीत पाठक,Punit Pathak
प्रोनीता स्वर्गियरी,Proneeta Swargiary
भारत,India
भारतीय,Indian
मिथुन चक्रवर्ती,Mithun Chakraborty
मुम्बई,Mumbai
रेमो डीसूजा,Remo D'Souza
शक्ति मोहन,Shakti Mohan
शहर,City
सौम्या टंडन,Saumya Tandon
इंडियाज़ गॉट टैलेंट,India's Got Talent
उड़ीसा,Odisha
किरॉन खेर,Kirron Kher
दशावतार,Dashavatara
बरहमपुर,Berhampur
बूगी वूगी,Boogie Woogie (TV series)
भारत,India
विष्णु,Vishnu
शेखर कपूर,Shekhar Kapur
सोनाली बेंद्रे,Sonali Bendre
सोनी टीवी,Sony Entertainment Television
ओडिशा,Odisha
पद्म श्री,Padma Shri
भारत,India
भारत सरकार,Government of India
भारतीय सांस्कृतिक संबंध परिषद,Indian Council for Cultural Relations
मायाधर राउत,Mayadhar Raut
संगीत नाटक अकादमी,Sangeet Natak Akademi
ओड़िसी,Odissi
कला,Art
केलुचरण मोहपात्रा,Kelucharan Mohapatra
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
१९८८,1988
पद्म श्री,Padma Shri
पद्मश्री पुरस्कार (२०१०–२०१९),List of Padma Shri award recipients (2010–2019)
यू ट्यूब,YouTube
संगीत नाटक अकादमी,Sangeet Natak Akademi
ओड़िसी,Odissi
भारत,India
हिन्दी,Hindi
आई एम कलाम,I Am Kalam
इंटरनेट मूवी डेटाबेस,IMDb
भारत,India
लाहौर,Lahore
हिन्दुस्तान सोशलिस्ट रिपब्लिकन एसोसिएशन,Hindustan Socialist Republican Association
ओडिशा,Odisha
कला,Art
पद्मश्री,Padma Shri
भारत,India
भारत सरकार,Government of India
उड़ीसा,Odisha
कला,Art
पद्म भूषण,Padma Bhushan
पद्म विभूषण,Padma Vibhushan
भारत,India
भारत सरकार,Government of India
२००१,2001
आमिर ख़ान,Aamir Khan
उड़िसा,Odisha
कटक,Cuttack
गीतकार,Lyricist
राम सम्पत,Ram Sampath
संगीतकार,Musician
भारत,India
उड़ीसा उच्च न्यायालय,Orissa High Court
पटना उच्च न्यायालय,Patna High Court
भारत,India
भारत के मुख्य न्यायाधीश,List of chief justices of India
भारत,India
गृद्धकूट पर्वत,Griddharaj Parvat
महायान,Mahayana
वज्रच्छेदिकाप्रज्ञापारमितासूत्र,Diamond Sutra
इस्कॉन,International Society for Krishna Consciousness
उड़ीसा,Odisha
कर्नाटक,Karnataka
कलियुग,Kali Yuga
कामकोटि पीठ,Kanchi Kamakoti Peetham
कार्तिक,Kartik (month)
कृष्ण,Krishna
गंगा,Ganges
गया,"Gaya, India"
गोपाल भट्ट गोस्वामी,Gopala Bhatta Goswami
गौड़ीय संप्रदाय,Gaudiya Vaishnavism
गौरांग,Chaitanya Mahaprabhu
चंद्र ग्रहण,Lunar eclipse
चैतन्य चरितामृत,Chaitanya Charitamrita
चैतन्य भागवत,Chaitanya Bhagavata
चैतन्य महाप्रभु,Chaitanya Mahaprabhu
जगन्नाथ पुरी,"Jagannath Temple, Puri"
जीव गोस्वामी,Jiva Goswami
ज्ञान,Knowledge
झाँझ,Cymbal
ढोलक,Dholak
तमिलनाडु,Tamil Nadu
द्वारिका,Dwarka
नवद्वीप,Nabadwip
नित्यानंद,Nitai
नित्यानंद प्रभु,Nitai
नीम,Azadirachta indica
नीलांचल,"Jagannath Temple, Puri"
न्याय,Justice
पश्चिम बंगाल,West Bengal
पुरी,Puri
पूर्णिमा,Purnima
प्रयाग,Allahabad
फाल्गुन,Phalguna
बंगाल,Bengal
भक्ति,Bhakti
भक्ति योग,Bhakti yoga
भाद्रपद,Bhadra (Hindu calendar)
मथुरा,Mathura
मायापुर,Mayapur
मुस्लिम,Muslims
मृदंग,Mridangam
राधा,Radha
राम,Rama
रूप गोस्वामी,Rupa Goswami
विजयादशमी,Vijayadashami
वृंदावन,Vrindavan
वैष्णव,Vaishnavism
व्याकरण,Grammar
शिक्षाष्टक,Shikshashtakam
शृंगेरी,Sringeri
श्री चैतन्य महाप्रभु (1954 फ़िल्म),Shri Chaitanya Mahaprabhu (film)
श्री पाद केशव भारती,Kesava Bharati
श्रीमद भागवत,Bhagavata Purana
श्रीमद्भाग्वत,Bhagavata Purana
षड्गोस्वामी,Six Goswamis of Vrindavana
षण्गोस्वामी,Six Goswamis of Vrindavana
संस्कृत भाषा,Sanskrit
सनातन गोस्वामी,Sanatana Goswami
सूर्यवंश,Suryavansha
सेतु बंध,Rameswaram (disambiguation)
हरिद्वार,Haridwar
हिंदू,Hinduism
हिंदू धर्म,Hinduism
१४८६,1486
१४८८,1488
१४९३,1493
१५०५,1505
१५०९,1509
१५१०,1510
१५१५,1515
१५३३,1533
१५३४,1534
१५४०,1540
१५५८,1558
१५६४,1564
१८ फरवरी,February 18
ओडिशा,Odisha
भारत,India
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
पाइक अखाड़ा,Paika akhada
पाइक विद्रोह,Paika Rebellion
कवि,Poet
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
कटक,Cuttack
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
ओड़िया,Odia language
ओड़िशा,Odisha
ओडिया,Oriya
कटक,Cuttack
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
उपन्यास,Novel
ओड़िया भाषा,Odia language
अंग्रेजी,English language
अंडमान व निकोबार द्वीप,Andaman and Nicobar Islands
अंदमान और निकोबार द्वीप,Andaman and Nicobar Islands
अनिता बोस फाफ,Anita Bose Pfaff
अफगानिस्तान,Afghanistan
अरविन्द घोष,Sri Aurobindo
अल्मोड़ा,Almora
असहयोग आंदोलन,Non-cooperation movement
आज़ाद हिन्द,Azad Hind
आज़ाद हिन्द फ़ौज,Indian National Army
आज़ाद हिन्द फौज,Indian National Army
आज़ाद हिन्द रेडियो,Azad Hind Radio
आजाद हिन्द,Azad Hind
आजाद हिन्द फौज,Indian National Army
आयरलैंड,Ireland
इंग्लैंड,England
इंडोनेशिया,Indonesia
इंफाल,Imphal
इटली,Italy
इम्फाल,Imphal
उच्चारण,Pronunciation
एमिली शेंकल,Emilie Schenkl
एशिया,Asia
ऑस्ट्रिया,Austria
ओड़िशा,Odisha
कटक,Cuttack
कराची,Karachi
कलकत्ता,Kolkata
कलकत्ता विश्वविद्यालय,University of Calcutta
काबुल,Kabul
कार,Car
कील,Nail (fastener)
कोरिया,Korea
कोलकाता,Kolkata
कोहिमा,Kohima
कोहिमा का युद्ध,Battle of Kohima
चित्तरंजन दास,Chittaranjan Das
चीन,China (region)
छत्तीसगढ़,Chhattisgarh
जय हिन्द,Jai Hind
जर्मनी,Germany
जवाहरलाल नेहरू,Jawaharlal Nehru
जापान,Japan
जापानी भाषा,Japanese language
झाँसी की रानी रेजिमेंट,Rani of Jhansi Regiment
टोकियो,Tokyo
डलहौजी,"Dalhousie, India"
तपेदिक,Tuberculosis
ताइवान,Taiwan (island)
त्रिपुरी,Tripuri
दिल्ली,Delhi
देशबंधु चित्तरंजन दास,Chittaranjan Das
द्वितीय विश्वयुद्ध,World War II
नागासाकी,Nagasaki
नौसेना विद्रोह,Royal Indian Navy mutiny
पट्टाभि सीतारमैया,Bhogaraju Pattabhi Sitaramayya
पत्नी,Wife
पशु चिकित्सक,Veterinary medicine
पश्चिम बंगाल,West Bengal
पश्चिम बंगाल सरकार,Government of West Bengal
पूर्वी एशिया,East Asia
पेशावर,Peshawar
प्रफुल्लचन्द्र राय,Prafulla Chandra Ray
फिलीपींस,Philippines
फैजाबाद,Faizabad
फॉरवर्ड ब्लॉक,All India Forward Bloc
बंगलौर,Bangalore
बंगाल,Bengal
बर्मा,Myanmar
बर्लिन,Berlin
ब्रिटिश राज,British Raj
ब्रिटिश साम्राज्य,British Empire
भगत सिंह,Bhagat Singh
भाई,Brother
भारत,India
भारत सरकार,Government of India
भारतीय,Indian
भारतीय इतिहास,History of India
भारतीय राष्ट्रीय अभिलेखागार,National Archives of India
भारतीय स्वतंत्रता का क्रांतिकारी आन्दोलन,Revolutionary movement for Indian independence
मंचूरिया,Manchuria
महात्मा गांधी,Mahatma Gandhi
माईन काम्फ,Mein Kampf
माण्डले,Mandalay
मान्चुको,Manchukuo
मास्को,Moscow
मुखर्जी आयोग,Mukherjee Commission
मुम्बई,Mumbai
मुसोलिनी,Benito Mussolini
मृत्यु,Death
मेघनाद साहा,Meghnad Saha
मैडागास्कर,Madagascar
मोतीलाल नेहरू,Motilal Nehru
म्याँमार,Myanmar
यूरोप,Europe
रंगून,Yangon
रवींद्रनाथ ठाकुर,Rabindranath Tagore
रवीन्द्रनाथ ठाकुर,Rabindranath Tagore
राज्य,State (polity)
राष्ट्रपिता,Father of the Nation
रासबिहारी बोस,Rash Behari Bose
रूस,Russia
रैंकोजी मन्दिर (जापान),Renkō-ji
लाहौर,Lahore
वकील,Advocate
विधानसभा,State Legislative Assembly (India)
वियेना,Vienna
संस्करण,Edition (printmaking)
सरदार वल्लभ भाई पटेल,Vallabhbhai Patel
साइमन कमीशन,Simon Commission
सिंगापुर,Singapore
सुभाष चन्द्र बोस की मृत्यु,Death of Subhas Chandra Bose
सुभाष चन्द्र बोस के राजनैतिक विचार,Political views of Subhas Chandra Bose
सैगोन,Ho Chi Minh City
स्वतन्त्रता संग्राम,Indian independence movement
स्वराज,Swaraj
स्वराज पार्टी,Swaraj Party
स्वामी विवेकानन्द,Swami Vivekananda
हिटलर,Adolf Hitler
हिदेकी तोजो,Hideki Tojo
हिन्द महासागर,Indian Ocean
हिन्दू,Hindus
हिरोशिमा,Hiroshima
भारत,India
कलिंग,Kalinga (historical region)
पूर्वी गंगवंश,Eastern Ganga dynasty
वीरराजेन्द्र चोल,Virarajendra Chola
चौहान वंश,Chahamanas of Shakambhari
पाटन,"Lalitpur, Nepal"
भारत,India
राजपूत,Rajput
ओडिशा,Odisha
बीजू जनता दल,Biju Janata Dal
भारत,India
ओडिशा,Odisha
बीजू जनता दल,Biju Janata Dal
भारत,India
भारतीय,Indian
सांसद,Member of parliament
कटक,Cuttack
डच,Dutch
कटक,Cuttack
डच,Dutch
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
ओडिशा,Odisha
बीजू जनता दल,Biju Janata Dal
भारत,India
भारतीय जनता पार्टी,Bharatiya Janata Party
राजनीतिज्ञ,Politics
ओडिशा,Odisha
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
ओडिशा,Odisha
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
उत्कल विश्वविद्यालय,Utkal University
ओडिशा,Odisha
नवीन पटनायक,Naveen Patnaik
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
ओडिशा,Odisha
बीजू जनता दल,Biju Janata Dal
भारत,India
आम चुनाव,Election
इंदिरा गांधी,Indira Gandhi
ओडिया,Oriya
ओडिशा,Odisha
कटक,Cuttack
कांग्रेस,Congress
कालिंदी चरण पाणिग्रही,Kalindi Charan Panigrahi
गोंदिया,Gondia
जगजीवन राम,Jagjivan Ram
जानकी बल्लभ पटनायक,Janaki Ballabh Patnaik
ढेंकनाल,Dhenkanal district
तथागत सत्पथी,Tathagata Satpathy
पुलिस,Police
प्रधानमंत्री,Prime minister
बीजू जनता दल,Biju Janata Dal
बीजू पटनायक,Biju Patnaik
भारत,India
भारतीय कम्युनिस्ट पार्टी,Communist Party of India
भारतीय संविधान,Constitution of India
भुवनेश्वर,Bhubaneswar
मंत्री,Minister (government)
मुख्यमंत्री,Chief minister (India)
रमा देवी,Rama Devi (Bihar politician)
राजस्थान,Rajasthan
राजीव गांधी,Rajiv Gandhi
राज्य सभा,Rajya Sabha
राज्यपाल,Governor
लज्जा,Shyness
विधानसभा,State Legislative Assembly (India)
संसद,Parliament of India
ओडिशा,Odisha
कटक,Cuttack
किरोड़ीमल महाविद्यालय,Kirori Mal College
जनता दल,Janata Dal
दून विद्यालय,The Doon School
बीजू जनता दल,Biju Janata Dal
बीजू पटनायक,Biju Patnaik
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
ओडिशा,Odisha
बीजू जनता दल,Biju Janata Dal
भारत,India
सोलहवीं लोकसभा,16th Lok Sabha
ओडिशा,Odisha
बीजू जनता दल,Biju Janata Dal
भारत,India
अटल बिहारी वाजपेयी,Atal Bihari Vajpayee
भारत,India
भारतीय,Indian
राजीव गांधी,Rajiv Gandhi
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
१९६८,1968
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
ओडिशा,Odisha
ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
भारत,India
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
बीजू जनता दल,Biju Janata Dal
भारत,India
उत्कल विश्वविद्यालय,Utkal University
ओडिशा,Odisha
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
राज्य सभा,Rajya Sabha
ओडिशा,Odisha
बीजू जनता दल,Biju Janata Dal
भारत,India
ओडिशा,Odisha
दिल्ली,Delhi
नालको,National Aluminium Company
भारत,India
भारत,India
भुवनेश्वर,Bhubaneswar
अंग्रेजी,English language
भारत,India
2010 राष्ट्रमण्डल खेल,2010 Commonwealth Games
2014 राष्ट्रमण्डल खेल,2014 Commonwealth Games
ग्लासगो,Glasgow
भारत,India
भारतीय,Indian
उड़ीसा,Odisha
ओडिशा,Odisha
कटक,Cuttack
चीन,China (region)
भारत,India
भारतीय,Indian
दीमापुर विमानक्षेत्र,Dimapur Airport
नागालैंड,Nagaland
भारत,India
राजधानी,Capital city
संस्कृति,Culture
नागालैण्ड,Nagaland
भारत,India
गुजरात,Gujarat
गोवा,Goa
नागालैंड,Nagaland
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
महाराष्ट्र,Maharashtra
राजनेता,Politician
राज्यपाल,Governor
कोलकाता,Kolkata
कोहिमा,Kohima
कोहिमा जिला,Kohima district
दार्जिलिंग,Darjeeling
नागा पीपल्स फ्रंट,Naga People's Front
नागालैण्ड,Nagaland
नागालैण्ड विधानसभा,Nagaland Legislative Assembly
नेशनलिस्ट डेमोक्रेटिक प्रोग्रेसिव पार्टी,Nationalist Democratic Progressive Party
पश्चिम बंगाल,West Bengal
पुरुलिया,Purulia
भारत,India
भारतीय जनता पार्टी,Bharatiya Janata Party
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
राष्ट्रपति शासन,President's rule
लोक सभा,Lok Sabha
सांसद,Member of parliament
नागालैण्ड,Nagaland
नेफियू रियो,Neiphiu Rio
भारत,India
राज्य सभा,Rajya Sabha
सोलहवीं लोक सभा,16th Lok Sabha
टी॰ आर॰ जेलियांग,T. R. Zeliang
नागालैण्ड,Nagaland
भारत,India
असहयोग आन्दोलन,Non-cooperation movement
उत्तर प्रदेश,Uttar Pradesh
उत्तराखण्ड,Uttarakhand
काकोरी काण्ड,Kakori conspiracy
काशीपुर,Kashipur
गाँव,Village
"गृह मंत्रालय, भारत सरकार",Ministry of Home Affairs (India)
गोविन्द बल्लभ पंत सागर,Govind Ballabh Pant Sagar
गोविन्द बल्लभ पन्त अभियान्त्रिकी महाविद्यालय,Govind Ballabh Pant Engineering College
देहरादून,Dehradun
नैनीताल,Nainital
पंतनगर,Pantnagar
भारत,India
भारत के गृह मंत्री,Minister of Home Affairs (India)
मदन मोहन मालवीय,Madan Mohan Malaviya
राजनेता,Politician
रानीखेत,Ranikhet
राम प्रसाद 'बिस्मिल',Ram Prasad Bismil
साइमन कमीशन,Simon Commission
हिन्दी,Hindi
उत्तराखण्ड,Uttarakhand
गोविन्द बल्लभ पन्त,Govind Ballabh Pant
जवाहरलाल नेहरू,Jawaharlal Nehru
जालपृष्ठ,Web page
पंतनगर,Pantnagar
भारत,India
हरित क्रांति,Green Revolution
१९६०,1960
१९७२,1972
उत्तर प्रदेश,Uttar Pradesh
भारत,India
मुख्यमंत्री,Chief minister (India)
उत्तराखण्ड,Uttarakhand
भारत,India
विश्वविद्यालय,University
आकाशवाणी,All India Radio
उत्तराखण्ड,Uttarakhand
कवि,Poet
ट्विटर,Twitter
नारायण दत्त तिवारी,N. D. Tiwari
पौड़ी,Pauri
फेसबुक,Facebook
भारत,India
लखनऊ,Lucknow
संगीतकार,Musician
हरिद्वार,Haridwar
इंटरनेट मूवी डेटाबेस,IMDb
मेरे ब्रदर की दुल्हन,Mere Brother Ki Dulhan
अयोध्या,Ayodhya
आदित्य चोपड़ा,Aditya Chopra
इंटरनेट मूवी डेटाबेस,IMDb
उत्तराखंड,Uttarakhand
गढ़वाल,Garhwal
बदमाश कंपनी,Badmaash Company
बैंड बाजा बारात,Band Baaja Baaraat
बॉलीवुड,Bollywood
रणवीर सिंह,Ranveer Singh
रब ने बना दी जोड़ी,Rab Ne Bana Di Jodi
विराट कोहली,Virat Kohli
हिन्दी,Hindi
इंटरनेट मूवी डेटाबेस,IMDb
उत्तराखंड,Uttarakhand
उत्तराखण्ड,Uttarakhand
करणवीर बोहरा,Karanvir Bohra
देहरादून,Dehradun
मुंबई,Mumbai
भारत,India
हिन्दी,Hindi
अंधा युग,Andha Yug
अजय देवगन,Ajay Devgn
अतुल कुलकर्णी,Atul Kulkarni
अनुराग कश्यप,Anurag Kashyap
अभिषेक बच्चन,Abhishek Bachchan
अरविंद गौड़,Arvind Gaur
अरविन्द गौड़,Arvind Gaur
इरफ़ान ख़ान,Irrfan Khan
ऋषि कपूर,Rishi Kapoor
ओम पुरी,Om Puri
ओमकारा,Omkara (2006 film)
करीना कपूर,Kareena Kapoor Khan
गिरीश कर्नाड,Girish Karnad
चोर चोर सुपर चोर,Chor Chor Super Chor
जावेद जाफरी,Javed Jaffrey
तब्बू,Tabu (actress)
धर्मवीर भारती,Dharamvir Bharati
नसीरुद्दीन शाह,Naseeruddin Shah
पंकज कपूर,Pankaj Kapur
भीष्म साहनी,Bhisham Sahni
महेश दत्ताणी,Mahesh Dattani
राकेश ओमप्रकाश मेहरा,Rakeysh Omprakash Mehra
राम गोपाल बजाज,Ram Gopal Bajaj
राहुल बोस,Rahul Bose
वहीदा रहमान,Waheeda Rehman
विवेक ओबेराय,Vivek Oberoi
विशाल भारद्वाज,Vishal Bhardwaj
सैफ अली खान,Saif Ali Khan
सोनम कपूर,Sonam Kapoor
स्वदेश दीपक,Swadesh Deepak
उत्तराखंड,Uttarakhand
एली एवराम,Elli AvrRam
ग्रैंड मस्ती,Grand Masti
दिव्या भारती,Divya Bharti
देहरादून,Dehradun
बॉलीवुड,Bollywood
मलयालम,Malayalam
रिया सेन,Riya Sen
हुमा क़ुरैशी (अभिनेत्री),Huma Qureshi (actress)
अयोध्या,Ayodhya
इंटरनेट मूवी डेटाबेस,IMDb
उत्तर प्रदेश,Uttar Pradesh
देहरादून,Dehradun
भारत,India
इंटरनेट मूवी डेटाबेस,IMDb
इंडियन आइडल,Indian Idol
दिलबर,Dilbar (song)
बॉलीवुड,Bollywood
इंटरनेट मूवी डेटाबेस,IMDb
मिस लवली,Miss Lovely
1968,1968
अंग्रेज़ी,English language
अल्मोड़ा,Almora
उत्तराखंड,Uttarakhand
कवि,Poet
गीतकार,Lyricist
गोपेश्वर,Chamoli district
चमोली,Chamoli district
दिल्ली ६,Delhi-6
नरेन्द्रनगर,New Tehri
पटकथा,Screenplay
फ़िल्म,Film
फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
भारतीय सिनेमा,Cinema of India
रंग दे बसंती,Rang De Basanti
रुद्रप्रयाग,Rudraprayag
लज्जा,Shyness
लेखक,Writer
हम तुम,Hum Tum
हिन्दी,Hindi
अभिनेता,Actor
एबीसीडी 2,ABCD 2
डांस इण्डिया डांस,Dance India Dance
नृत्य,Dance
फ़िल्म,Film
भारत,India
भारतीय,Indian
इंटरनेट मूवी डेटाबेस,IMDb
दिल्ली विश्वविद्यालय,University of Delhi
नैनीताल,Nainital
पंजाब 1984,Punjab 1984
फेमिना मिस इंडिया,Femina Miss India
भारत,India
हिन्दी सिनेमा,Bollywood
